image,width,height,aspect_ratio,mean_brightness,yolo_time_sec,yolo_objects,yolo_avg_score,fasterrcnn_time_sec,fasterrcnn_objects,fasterrcnn_avg_score
bike.jpg,3651,5477,0.666605806098229,0.2785215973854065,0.28543710708618164,3,0.4668079912662506,2.5102086067199707,13,0.79832524061203
breakdown.jpg,768,512,1.5,0.5522809028625488,0.08566761016845703,7,0.592943549156189,2.108642578125,9,0.8315611481666565
camp.jpg,3651,5477,0.666605806098229,0.48332151770591736,0.1691586971282959,5,0.44096699357032776,2.2018611431121826,19,0.7477867007255554
jump.jpg,3651,5477,0.666605806098229,0.5539460182189941,0.11954331398010254,2,0.5331950187683105,2.0828304290771484,3,0.9226935505867004
parts.jpg,768,512,1.5,0.5580875873565674,0.05601763725280762,1,0.820582389831543,2.049386501312256,3,0.6327420473098755
propane.jpg,2500,3748,0.6670224119530416,0.42936423420906067,0.09239506721496582,3,0.5618202686309814,2.048583984375,6,0.7417733073234558
repairs.jpg,768,512,1.5,0.5770624279975891,0.055179595947265625,5,0.5194637179374695,2.033381462097168,9,0.7987098097801208
rocks.jpg,5477,3651,1.5001369487811558,0.5294052362442017,0.15009498596191406,2,0.7754631638526917,2.0851328372955322,2,0.9643594026565552
tow.jpg,2500,1668,1.498800959232614,0.5778945684432983,0.09706568717956543,3,0.7642598152160645,2.078953504562378,4,0.9910212159156799
water.jpg,3000,2001,1.4992503748125936,0.5059220194816589,0.11162114143371582,1,0.6824381947517395,2.0383849143981934,4,0.7588160037994385
